gen,elapsed,s_best,C_best,O1_best,O2_best,score_best
1,1.832917797999471,0.485341468851778,94.77629102928603,0.4509316770186335,0.0410457360066065,0.3279658947150254
2,2.72450975799984,0.485341468851778,94.77629102928603,0.4509316770186335,0.0410457360066065,0.3279658947150254
3,3.6984220719987206,0.6345960835411747,80.0,0.3284552845528455,0.18377139968779763,0.2850501190933311
4,4.667192935999992,0.6345960835411747,80.0,0.3284552845528455,0.18377139968779763,0.2850501190933311
5,5.603607420998742,0.6345960835411747,80.0,0.3284552845528455,0.18377139968779763,0.2850501190933311
6,6.531875983999271,0.6345960835411747,80.0,0.3284552845528455,0.18377139968779763,0.2850501190933311
7,7.504970852000042,0.49108666234788667,81.54893710403279,0.36936936936936937,0.0139929175557577,0.26275643382528585
8,8.433831284999542,0.49108666234788667,81.54893710403279,0.36936936936936937,0.0139929175557577,0.26275643382528585
9,9.361810811000396,0.4891930281246566,80.0,0.35962145110410093,0.026241661258064892,0.25960751415029015
10,10.266253428999335,0.4891930281246566,80.0,0.35962145110410093,0.026241661258064892,0.25960751415029015
11,11.17319998200037,0.4891930281246566,80.0,0.35962145110410093,0.026241661258064892,0.25960751415029015
12,12.085315079999418,0.4891930281246566,80.0,0.35962145110410093,0.026241661258064892,0.25960751415029015
13,13.011481510999147,0.48866625044112644,80.0,0.3652037617554859,0.006923432941885697,0.2577196631114058
14,13.918840385000294,0.48866625044112644,80.0,0.3652037617554859,0.006923432941885697,0.2577196631114058
15,14.79036385299878,0.48866625044112644,80.0,0.3652037617554859,0.006923432941885697,0.2577196631114058
16,15.637161934999313,0.48866625044112644,80.0,0.3652037617554859,0.006923432941885697,0.2577196631114058
