gen,elapsed,s_best,C_best,O1_best,O2_best,score_best
1,1.3691912169997522,0.5,90.0,0.5578231292517006,0.008111496775308643,0.392909639508783
2,1.9997465640008159,0.5211169233481685,80.37503063563267,0.48405797101449277,0.08234211640894298,0.3635432146328278
3,2.612461766000706,0.45942943584801715,80.37503063563267,0.5054347826086957,0.02008936566483544,0.35983115752553757
4,3.238589820000925,0.45942943584801715,80.37503063563267,0.5054347826086957,0.02008936566483544,0.35983115752553757
5,3.83848633100024,0.45942943584801715,80.37503063563267,0.5054347826086957,0.02008936566483544,0.35983115752553757
6,4.3814573689996905,0.45942943584801715,80.37503063563267,0.5054347826086957,0.02008936566483544,0.35983115752553757
7,5.03076683099971,0.5464558505016892,80.30002450850614,0.46153846153846156,0.11840407676001784,0.35859814610492846
8,5.615326162000201,0.505474570946779,80.0,0.48695652173913045,0.052810366208111144,0.3567126750798246
9,6.211495348999961,0.505474570946779,80.0,0.48695652173913045,0.052810366208111144,0.3567126750798246
10,6.855520631001127,0.505474570946779,80.0,0.48695652173913045,0.052810366208111144,0.3567126750798246
11,7.4365457290005,0.4756759102408095,80.0,0.5041782729805014,0.00506216613038489,0.3544434409254665
12,8.014462472001469,0.4756759102408095,80.0,0.5041782729805014,0.00506216613038489,0.3544434409254665
13,8.534426924001309,0.5021717687595967,80.0,0.4755043227665706,0.06713101427754703,0.35299233021986354
14,9.130721923000237,0.5021717687595967,80.0,0.4755043227665706,0.06713101427754703,0.35299233021986354
15,9.701204531000258,0.5021717687595967,80.0,0.4755043227665706,0.06713101427754703,0.35299233021986354
16,10.236261526000817,0.5021717687595967,80.0,0.4755043227665706,0.06713101427754703,0.35299233021986354
17,10.79361780399995,0.5021717687595967,80.0,0.4755043227665706,0.06713101427754703,0.35299233021986354
18,11.362977542999943,0.5377738493282553,80.30002450850614,0.4506172839506173,0.10770683825968842,0.3477441502433386
19,11.983031138001024,0.5377738493282553,80.30002450850614,0.4506172839506173,0.10770683825968842,0.3477441502433386
20,12.558505699000307,0.5377738493282553,80.30002450850614,0.4506172839506173,0.10770683825968842,0.3477441502433386
21,13.134711310000057,0.5377738493282553,80.30002450850614,0.4506172839506173,0.10770683825968842,0.3477441502433386
22,13.741765791000944,0.5377738493282553,80.30002450850614,0.4506172839506173,0.10770683825968842,0.3477441502433386
23,14.282255886000712,0.5377738493282553,80.30002450850614,0.4506172839506173,0.10770683825968842,0.3477441502433386
24,14.853212711001106,0.5377738493282553,80.30002450850614,0.4506172839506173,0.10770683825968842,0.3477441502433386
25,15.400483762001386,0.5377738493282553,80.30002450850614,0.4506172839506173,0.10770683825968842,0.3477441502433386
