cycle,s,C,O1,O2,score_best,elapsed_s
90,0.57,65.9,0.385,0.018,0.2019,22.39
91,0.58,79.0,0.468,0.008,0.2379,21.92
92,0.524,96.0,0.41,0.019,0.2147,25.36
93,0.631,79.0,0.505,0.004,0.2548,20.7
94,0.647,74.2,0.458,0.0,0.229,30.07
95,0.677,75.6,0.419,0.062,0.2401,21.45
96,0.65,64.1,0.416,0.005,0.2105,31.05
97,0.663,95.6,0.384,0.02,0.2021,31.95
98,0.518,80.9,0.437,0.023,0.2299,31.51
99,0.532,109.3,0.536,0.007,0.2718,23.32
100,0.66,74.6,0.45,0.014,0.2322,33.01
101,0.686,90.0,0.456,0.01,0.2332,30.21
102,0.673,105.1,0.51,0.016,0.2628,31.06
103,0.549,77.5,0.372,0.046,0.2085,31.41
104,0.684,63.7,0.287,0.087,0.187,33.02
105,0.665,116.7,0.427,0.025,0.2262,32.01
106,0.667,73.4,0.452,0.005,0.2283,33.63
107,0.584,61.1,0.389,0.013,0.2009,32.83
108,0.657,70.4,0.416,0.005,0.2106,33.6
109,0.646,60.9,0.463,0.048,0.2557,28.94
110,0.642,81.7,0.476,0.049,0.2624,33.73
111,0.684,66.7,0.482,0.069,0.2758,33.16
112,0.683,69.9,0.306,0.036,0.1708,33.16
113,0.686,74.5,0.335,0.052,0.1934,32.63
114,0.608,81.5,0.382,0.007,0.1941,33.39
115,0.494,66.4,0.363,0.0,0.1815,27.76
116,0.619,90.1,0.334,0.02,0.1772,32.85
117,0.645,70.2,0.477,0.044,0.2607,30.17
118,0.468,89.9,0.466,0.013,0.2396,29.79
119,0.638,77.1,0.524,0.049,0.2867,30.28
120,0.511,63.3,0.479,0.001,0.24,33.69
121,0.518,104.8,0.433,0.028,0.2301,33.64
122,0.5,71.1,0.435,0.016,0.2252,33.78
123,0.569,90.2,0.55,0.031,0.2906,32.19
124,0.605,90.2,0.406,0.019,0.2127,30.47
125,0.573,61.6,0.417,0.017,0.2172,33.3
126,0.597,85.5,0.464,0.015,0.2396,30.55
127,0.457,80.7,0.393,0.036,0.2141,30.11
128,0.437,88.9,0.394,0.018,0.206,31.43
129,0.619,94.7,0.483,0.018,0.2505,30.47
130,0.531,90.1,0.503,0.068,0.2851,30.2
131,0.518,113.5,0.455,0.013,0.2342,32.99
132,0.606,66.6,0.312,0.059,0.1857,31.85
133,0.672,63.6,0.408,0.006,0.2072,30.97
134,0.529,92.4,0.352,0.051,0.2014,30.44
135,0.647,90.4,0.445,0.044,0.2443,31.24
136,0.566,75.9,0.333,0.068,0.2004,31.13
137,0.48,80.5,0.322,0.006,0.1641,32.26
138,0.604,64.9,0.454,0.034,0.2439,30.85
139,0.52,67.0,0.384,0.007,0.1954,31.31
140,0.56,91.0,0.434,0.018,0.2261,31.73
141,0.617,109.0,0.405,0.004,0.2042,31.62
142,0.617,61.0,0.396,0.003,0.1992,30.79
143,0.638,68.6,0.458,0.008,0.2329,32.09
144,0.648,94.3,0.416,0.014,0.215,31.59
145,0.565,72.7,0.39,0.027,0.2085,30.5
146,0.434,117.0,0.385,0.003,0.1938,31.98
147,0.607,81.3,0.355,0.009,0.1823,30.23
148,0.552,90.3,0.345,0.004,0.1743,30.68
149,0.555,89.0,0.364,0.004,0.1839,30.46
150,0.617,69.2,0.447,0.003,0.2249,32.3
151,0.663,65.5,0.297,0.044,0.1708,30.51
152,0.684,71.6,0.332,0.01,0.1712,33.22
153,0.648,77.3,0.492,0.0,0.2458,30.05
154,0.57,104.1,0.495,0.009,0.2521,29.94
155,0.523,73.1,0.389,0.004,0.1968,33.59
156,0.505,76.5,0.385,0.025,0.2051,33.18
157,0.579,101.1,0.415,0.044,0.2294,33.75
158,0.529,95.2,0.246,0.004,0.1249,29.35
159,0.596,75.9,0.421,0.072,0.2462,32.89
160,0.581,76.7,0.394,0.08,0.2372,33.36
161,0.564,119.8,0.473,0.028,0.2506,29.49
162,0.665,92.3,0.209,0.042,0.1253,29.23
163,0.618,104.0,0.322,0.001,0.1613,32.81
164,0.586,112.5,0.323,0.026,0.1744,31.91
165,0.467,69.2,0.3,0.0,0.15,32.63
166,0.577,117.0,0.46,0.032,0.2461,33.03
167,0.613,95.1,0.375,0.029,0.2021,28.76
168,0.666,69.9,0.295,0.03,0.1622,31.82
169,0.6,114.6,0.324,0.117,0.2207,32.54
170,0.411,75.6,0.275,0.051,0.1628,32.34
171,0.68,81.6,0.279,0.043,0.1611,32.57
172,0.589,73.9,0.424,0.026,0.2251,28.58
173,0.62,107.8,0.344,0.006,0.1752,28.83
174,0.676,79.2,0.228,0.002,0.1148,32.66
175,0.527,64.1,0.237,0.004,0.1208,31.53
176,0.474,103.1,0.331,0.007,0.1693,28.13
177,0.528,70.3,0.354,0.017,0.1857,32.7
178,0.629,73.4,0.327,0.03,0.1786,27.42
179,0.506,115.2,0.371,0.005,0.1883,32.18
180,0.509,90.0,0.326,0.002,0.164,32.02
181,0.641,88.3,0.215,0.028,0.1213,27.66
182,0.634,73.5,0.236,0.002,0.1187,31.11
183,0.437,75.3,0.134,0.003,0.0683,30.71
184,0.678,75.6,0.21,0.406,0.3082,31.58
185,0.677,71.7,0.177,0.05,0.1135,27.43
186,0.685,63.7,0.258,0.087,0.1726,31.21
187,0.676,92.1,0.173,0.0,0.0863,30.93
188,0.672,105.1,0.215,0.119,0.167,31.12
189,0.685,96.5,0.265,0.131,0.1982,32.09
190,0.661,69.5,0.133,0.069,0.1011,30.59
191,0.687,111.3,0.148,0.54,0.3441,30.41
192,0.685,114.8,0.21,0.167,0.1884,31.13
193,0.597,113.3,0.203,0.013,0.1081,27.24
194,0.684,108.4,0.184,0.041,0.1126,31.11
195,0.68,99.5,0.103,0.048,0.0751,26.33
