cycle,s,C,O1,O2,score_best,elapsed_s
1,0.616,90.2,0.057,0.006,0.0312,3.32
2,0.685,117.9,0.125,0.0,0.0626,4.75
3,0.555,65.1,0.125,0.0,0.0627,4.79
4,0.545,90.2,0.108,0.0,0.0538,3.55
5,0.5,90.0,0.173,0.017,0.095,3.61
6,0.338,60.4,0.118,0.004,0.0613,4.53
7,0.59,115.2,0.126,0.0,0.0631,5.17
8,0.413,102.8,0.11,0.033,0.0713,3.66
9,0.579,72.1,0.135,0.009,0.0723,6.23
10,0.503,63.5,0.102,0.0,0.051,5.32
11,0.507,74.2,0.136,0.05,0.0932,3.71
12,0.521,72.8,0.143,0.029,0.0862,3.3
13,0.612,89.9,0.092,0.025,0.0583,5.45
14,0.525,92.3,0.122,0.003,0.0624,5.14
15,0.675,81.6,0.119,0.018,0.0686,3.49
16,0.686,61.3,0.082,0.043,0.0628,4.21
17,0.674,110.8,0.127,0.114,0.1208,6.74
18,0.514,90.2,0.102,0.016,0.0587,7.27
19,0.475,84.1,0.129,0.0,0.0646,5.96
20,0.516,80.3,0.118,0.0,0.0588,5.72
21,0.513,61.9,0.084,0.037,0.0601,4.84
22,0.647,67.8,0.11,0.025,0.0674,4.59
23,0.641,73.2,0.115,0.018,0.0665,6.91
24,0.681,118.7,0.096,0.037,0.0663,6.1
25,0.573,72.4,0.127,0.043,0.0849,7.7
26,0.512,109.8,0.192,0.012,0.102,8.89
27,0.527,102.9,0.199,0.025,0.112,9.53
28,0.443,113.0,0.124,0.004,0.0639,8.37
29,0.687,66.2,0.106,0.026,0.0663,6.91
30,0.614,67.2,0.092,0.015,0.0535,5.15
31,0.575,66.3,0.148,0.0,0.0741,6.07
32,0.591,103.3,0.137,0.0,0.0687,5.79
33,0.671,74.0,0.155,0.0,0.0774,9.71
34,0.595,69.1,0.129,0.01,0.0694,7.4
35,0.552,60.4,0.122,0.0,0.0609,6.02
36,0.552,109.2,0.113,0.007,0.06,7.25
37,0.5,72.1,0.14,0.003,0.0713,8.32
38,0.555,78.5,0.149,0.003,0.0757,6.37
39,0.649,79.4,0.176,0.021,0.0987,6.24
40,0.625,77.9,0.131,0.024,0.0771,9.06
41,0.658,68.9,0.144,0.037,0.0905,6.82
42,0.617,100.4,0.189,0.026,0.1072,8.63
43,0.406,60.2,0.134,0.004,0.0689,6.53
44,0.493,74.8,0.148,0.008,0.0781,6.78
45,0.62,64.5,0.179,0.024,0.1017,14.58
46,0.662,89.5,0.101,0.0,0.0506,10.17
47,0.561,90.2,0.221,0.01,0.1155,8.3
48,0.488,68.6,0.178,0.02,0.0989,12.77
49,0.556,90.2,0.192,0.012,0.1018,7.87
50,0.43,75.1,0.151,0.003,0.0769,10.73
51,0.652,89.9,0.227,0.016,0.1213,7.82
52,0.674,113.0,0.251,0.007,0.1291,9.7
53,0.406,67.9,0.117,0.101,0.109,7.7
54,0.645,89.8,0.114,0.017,0.0654,8.16
55,0.679,93.6,0.168,0.029,0.0987,10.92
56,0.556,68.6,0.157,0.034,0.0956,8.31
57,0.458,73.4,0.171,0.007,0.089,8.25
58,0.571,103.0,0.233,0.056,0.1445,11.31
59,0.681,83.1,0.2,0.011,0.1053,11.57
60,0.687,76.7,0.215,0.022,0.1183,14.07
61,0.54,113.0,0.252,0.03,0.1407,9.2
62,0.561,90.1,0.179,0.009,0.0941,9.22
63,0.46,60.9,0.231,0.02,0.1255,11.58
64,0.612,115.2,0.204,0.015,0.1098,9.61
65,0.642,93.8,0.181,0.012,0.0965,10.6
66,0.63,80.1,0.155,0.007,0.081,10.45
67,0.557,69.0,0.351,0.036,0.1933,11.16
68,0.47,66.1,0.325,0.004,0.1644,16.0
69,0.584,105.4,0.398,0.022,0.21,18.16
70,0.507,90.0,0.339,0.009,0.1736,17.0
71,0.625,90.8,0.384,0.014,0.1992,16.48
72,0.527,65.3,0.293,0.014,0.1537,10.77
73,0.669,63.8,0.258,0.061,0.1593,11.96
74,0.684,63.7,0.286,0.091,0.1883,13.81
75,0.473,61.6,0.223,0.025,0.1241,16.64
76,0.544,89.9,0.341,0.013,0.1771,22.72
77,0.674,119.4,0.359,0.002,0.1803,14.75
78,0.594,63.3,0.407,0.018,0.2127,13.22
79,0.596,90.3,0.388,0.004,0.1961,19.86
80,0.5,85.5,0.483,0.026,0.2544,12.89
81,0.614,110.0,0.472,0.008,0.2399,13.46
82,0.534,75.6,0.357,0.067,0.2119,20.47
83,0.593,60.1,0.404,0.01,0.2072,17.14
84,0.595,87.0,0.423,0.012,0.2174,20.71
85,0.557,68.9,0.353,0.014,0.1835,21.17
86,0.547,90.0,0.415,0.023,0.2192,14.07
87,0.682,73.5,0.463,0.013,0.238,22.42
88,0.598,89.9,0.473,0.016,0.2449,17.61
89,0.672,73.3,0.473,0.018,0.2458,17.15
