cycle,s,C,O1,O2,score_best,elapsed_s
69,0.581,88.5,0.348,0.005,0.1765,12.27
70,0.465,112.7,0.495,0.016,0.2553,15.17
71,0.575,90.1,0.481,0.011,0.2457,11.25
72,0.646,91.2,0.325,0.012,0.1685,11.03
73,0.686,86.3,0.315,0.021,0.1682,17.11
74,0.565,73.4,0.288,0.145,0.2165,11.49
75,0.63,63.6,0.367,0.019,0.1927,13.77
76,0.615,61.3,0.354,0.017,0.1857,11.26
77,0.623,92.4,0.425,0.004,0.2145,12.71
78,0.644,88.1,0.446,0.001,0.2236,12.57
79,0.669,71.4,0.218,0.031,0.1245,11.82
80,0.648,61.7,0.38,0.071,0.2256,15.86
81,0.661,71.5,0.326,0.033,0.1792,20.14
82,0.592,64.4,0.362,0.003,0.1821,17.01
83,0.598,82.6,0.48,0.008,0.2443,21.3
84,0.556,83.2,0.455,0.058,0.2566,15.7
85,0.568,104.0,0.493,0.003,0.2481,16.49
86,0.543,72.1,0.359,0.013,0.1858,16.22
87,0.644,70.2,0.378,0.044,0.2112,16.52
88,0.544,76.9,0.32,0.034,0.1772,21.07
89,0.667,90.4,0.366,0.001,0.1836,17.55
90,0.488,63.7,0.398,0.075,0.2364,21.31
91,0.564,102.2,0.398,0.006,0.202,22.34
92,0.528,65.3,0.393,0.016,0.2043,21.27
93,0.619,112.5,0.476,0.021,0.2487,21.71
94,0.518,73.3,0.461,0.0,0.2307,22.47
95,0.569,83.4,0.454,0.039,0.2462,22.13
96,0.683,76.1,0.358,0.003,0.1807,22.73
97,0.611,78.9,0.352,0.019,0.1855,21.52
98,0.572,93.0,0.371,0.004,0.1874,20.46
99,0.672,77.4,0.418,0.027,0.2224,21.07
100,0.641,114.6,0.509,0.077,0.2926,21.82
101,0.454,71.4,0.44,0.021,0.2305,21.43
102,0.685,112.9,0.398,0.077,0.2375,22.81
103,0.592,78.6,0.359,0.031,0.1947,23.0
104,0.661,84.0,0.352,0.025,0.1885,20.36
105,0.606,97.9,0.492,0.018,0.2549,20.77
106,0.544,90.0,0.343,0.01,0.1768,23.35
107,0.616,73.8,0.36,0.026,0.1932,20.94
108,0.663,71.5,0.371,0.002,0.1867,20.24
109,0.626,79.0,0.431,0.042,0.2361,20.06
110,0.68,99.6,0.372,0.003,0.1875,20.8
111,0.619,62.1,0.265,0.026,0.1457,20.44
112,0.668,102.9,0.357,0.051,0.2038,23.46
113,0.5,90.0,0.409,0.003,0.2061,20.18
114,0.588,85.1,0.515,0.033,0.2742,20.33
115,0.586,60.6,0.547,0.009,0.278,20.07
116,0.519,90.0,0.508,0.012,0.26,20.74
117,0.617,96.0,0.498,0.018,0.2581,21.28
118,0.508,67.1,0.438,0.004,0.2212,23.68
119,0.505,75.6,0.52,0.008,0.2643,23.55
120,0.569,61.7,0.368,0.039,0.2036,23.17
121,0.582,90.2,0.464,0.058,0.2611,23.21
122,0.62,93.0,0.495,0.005,0.25,20.6
123,0.665,81.4,0.47,0.001,0.2353,24.06
124,0.638,91.8,0.538,0.083,0.3103,20.21
125,0.628,92.6,0.347,0.019,0.183,21.33
126,0.573,102.1,0.422,0.024,0.223,21.3
127,0.557,101.2,0.481,0.011,0.2459,20.7
128,0.623,99.4,0.421,0.048,0.2343,20.73
129,0.569,76.8,0.301,0.013,0.1569,21.39
130,0.643,73.3,0.416,0.004,0.2098,21.61
131,0.565,72.8,0.337,0.04,0.1881,21.46
132,0.554,95.9,0.401,0.011,0.2061,21.04
133,0.564,113.0,0.436,0.021,0.2287,21.04
134,0.447,70.8,0.337,0.022,0.1792,20.39
135,0.625,76.9,0.378,0.021,0.1994,20.57
136,0.543,94.6,0.424,0.025,0.2246,23.7
137,0.595,97.9,0.441,0.033,0.2371,20.85
138,0.624,77.2,0.417,0.019,0.218,21.89
139,0.58,64.5,0.403,0.027,0.2154,21.2
140,0.533,90.5,0.416,0.01,0.2132,21.13
141,0.59,61.0,0.448,0.045,0.2469,21.11
142,0.632,113.9,0.475,0.027,0.2512,20.88
143,0.585,102.5,0.408,0.02,0.2139,20.97
144,0.665,91.5,0.437,0.055,0.2459,21.2
145,0.556,67.1,0.262,0.003,0.1326,20.44
146,0.677,83.0,0.354,0.025,0.1896,21.13
147,0.644,72.5,0.396,0.059,0.2274,21.44
148,0.558,115.2,0.396,0.007,0.2015,22.36
149,0.608,64.8,0.358,0.019,0.1883,20.18
150,0.591,117.9,0.424,0.003,0.2136,21.68
151,0.476,79.6,0.305,0.032,0.1685,21.04
152,0.601,116.0,0.421,0.007,0.2139,22.07
153,0.53,86.5,0.386,0.024,0.2049,20.19
154,0.551,91.1,0.327,0.008,0.1672,23.18
155,0.565,75.3,0.317,0.001,0.1592,23.43
156,0.595,79.3,0.332,0.016,0.1739,23.61
157,0.578,62.7,0.394,0.034,0.2139,23.36
158,0.5,97.3,0.384,0.028,0.2058,23.58
159,0.569,85.4,0.407,0.019,0.2129,23.23
160,0.626,72.5,0.35,0.043,0.1964,22.87
161,0.627,103.0,0.406,0.073,0.2393,23.43
162,0.528,82.8,0.371,0.0,0.1854,23.39
163,0.572,70.9,0.418,0.042,0.23,22.81
164,0.602,113.8,0.408,0.03,0.2187,23.7
165,0.496,71.2,0.23,0.002,0.116,20.3
166,0.619,66.0,0.229,0.035,0.1319,22.85
167,0.553,100.2,0.365,0.019,0.192,23.11
168,0.595,80.7,0.377,0.014,0.1954,23.68
169,0.506,105.6,0.397,0.012,0.204,23.36
170,0.576,100.0,0.32,0.01,0.165,23.31
171,0.532,72.2,0.351,0.004,0.1774,22.8
172,0.488,63.8,0.384,0.015,0.1998,22.92
173,0.541,110.2,0.346,0.015,0.1806,23.15
174,0.686,98.5,0.435,0.019,0.2271,22.95
175,0.499,79.7,0.315,0.02,0.1674,22.91
176,0.519,102.8,0.399,0.019,0.2087,23.04
177,0.604,90.6,0.223,0.004,0.1139,22.05
178,0.68,116.5,0.227,0.066,0.1463,22.33
179,0.591,65.8,0.168,0.104,0.136,22.26
180,0.613,112.3,0.202,0.01,0.1057,23.03
181,0.681,119.8,0.134,0.171,0.1525,22.41
182,0.569,65.3,0.176,0.003,0.0893,22.6
183,0.671,77.0,0.143,0.342,0.2425,21.91
184,0.679,65.8,0.201,0.218,0.2096,21.88
185,0.687,60.1,0.204,0.187,0.1952,22.09
186,0.685,111.3,0.179,0.394,0.2863,22.45
187,0.655,66.0,0.176,0.289,0.2327,21.85
188,0.642,100.7,0.225,0.27,0.2476,21.78
189,0.642,85.3,0.136,0.0,0.0678,21.71
190,0.686,108.7,0.192,0.179,0.1855,21.82
191,0.686,61.2,0.266,0.218,0.2424,21.87
192,0.597,92.8,0.15,0.006,0.078,21.52
193,0.684,83.4,0.115,0.555,0.3352,21.38
