cycle,s,C,O1,O2,score_best,elapsed_s
1,0.36,76.0,0.054,0.153,0.1034,1.98
2,0.685,99.0,0.078,0.578,0.3281,4.74
3,0.576,69.0,0.059,0.015,0.0368,2.56
4,0.548,90.0,0.113,0.008,0.0608,2.96
5,0.615,95.4,0.144,0.002,0.0732,3.67
6,0.516,103.6,0.183,0.102,0.1425,3.72
7,0.503,77.6,0.114,0.051,0.0824,3.5
8,0.414,97.0,0.108,0.019,0.0635,3.9
9,0.527,85.1,0.147,0.044,0.0956,4.52
10,0.587,96.3,0.133,0.004,0.0686,4.91
11,0.552,66.1,0.155,0.003,0.079,5.27
12,0.519,70.5,0.14,0.009,0.0747,5.73
13,0.539,68.1,0.102,0.0,0.0509,7.28
14,0.643,90.1,0.122,0.021,0.0717,3.86
15,0.64,70.2,0.11,0.004,0.0569,5.72
16,0.681,75.8,0.093,0.0,0.0464,6.42
17,0.639,62.2,0.072,0.007,0.0397,5.47
18,0.472,90.0,0.101,0.01,0.0552,6.3
19,0.687,102.7,0.117,0.002,0.0597,6.27
20,0.537,72.1,0.126,0.01,0.0681,4.33
21,0.62,67.1,0.125,0.004,0.0643,7.88
22,0.676,89.5,0.114,0.009,0.0613,6.97
23,0.56,86.8,0.155,0.098,0.1266,5.02
24,0.6,77.3,0.185,0.01,0.0977,4.86
25,0.583,67.2,0.206,0.007,0.1063,7.5
26,0.518,93.7,0.154,0.004,0.0792,9.04
27,0.528,66.5,0.157,0.015,0.0858,7.15
28,0.607,99.5,0.171,0.007,0.089,9.49
29,0.474,108.2,0.16,0.081,0.1207,5.29
30,0.656,96.2,0.158,0.008,0.0829,5.49
31,0.62,77.3,0.128,0.015,0.0715,7.19
32,0.611,107.6,0.165,0.022,0.0938,10.75
33,0.495,71.5,0.108,0.004,0.056,7.47
34,0.645,89.7,0.123,0.061,0.0919,5.47
35,0.677,84.1,0.143,0.002,0.0729,5.73
36,0.566,89.8,0.09,0.011,0.0504,6.57
37,0.538,81.0,0.164,0.004,0.0841,5.75
38,0.526,78.9,0.111,0.014,0.0622,5.92
39,0.645,65.8,0.118,0.024,0.071,5.81
40,0.657,67.8,0.134,0.024,0.0789,6.73
41,0.618,68.9,0.146,0.034,0.0898,10.65
42,0.6,84.4,0.174,0.002,0.088,9.02
43,0.449,79.1,0.191,0.012,0.1014,9.3
44,0.434,82.0,0.191,0.002,0.0965,7.53
45,0.683,101.0,0.163,0.016,0.0895,7.54
46,0.571,68.4,0.121,0.015,0.0677,9.95
47,0.418,77.4,0.201,0.004,0.1023,10.88
48,0.463,89.7,0.202,0.011,0.1064,7.26
49,0.522,94.3,0.308,0.001,0.1546,9.07
50,0.436,104.8,0.255,0.006,0.1306,12.21
51,0.629,75.6,0.176,0.007,0.0913,7.43
52,0.576,109.5,0.211,0.006,0.1083,7.55
53,0.545,64.9,0.131,0.018,0.0748,7.65
54,0.535,88.7,0.127,0.028,0.0779,7.47
55,0.684,63.3,0.129,0.087,0.1082,8.74
56,0.687,67.0,0.105,0.009,0.0566,13.86
57,0.582,103.8,0.224,0.0,0.1118,9.53
58,0.559,95.9,0.207,0.076,0.1412,10.29
59,0.662,72.8,0.16,0.125,0.1425,9.2
60,0.642,65.5,0.126,0.0,0.0632,10.48
61,0.561,73.9,0.211,0.016,0.1135,10.94
62,0.441,90.0,0.213,0.02,0.1163,8.42
63,0.391,90.5,0.224,0.032,0.1276,12.58
64,0.658,119.3,0.207,0.03,0.1188,13.96
65,0.593,86.0,0.205,0.003,0.1044,12.99
66,0.687,96.0,0.195,0.018,0.1065,16.06
67,0.518,68.4,0.216,0.014,0.1151,17.03
68,0.581,60.3,0.309,0.013,0.1614,16.43
