cycle,s,C,O1,O2,score_best,robust_score,elapsed_s
118,0.5,90,0.347,0.134,0.2833,0,0.0
119,0.5,90,0.428,0.191,0.3568,0,0.0
120,0.5,90,0.451,0.203,0.3766,0,0.0
121,0.5,90,0.352,0.067,0.2661,0,0.0
122,0.5,90,0.467,0.277,0.4099,0,0.0
123,0.5,90,0.385,0.311,0.3627,0,0.0
124,0.5,90,0.432,0.318,0.3976,0,0.0
125,0.5,90,0.431,0.122,0.3382,0,0.0
126,0.5,90,0.391,0.174,0.326,0,0.0
127,0.5,90,0.455,0.347,0.4225,0,0.0
128,0.5,90,0.451,0.303,0.4068,0,0.0
129,0.5,90,0.416,0.217,0.3562,0,0.0
130,0.5,90,0.47,0.257,0.4059,0,0.0
131,0.5,90,0.369,0.054,0.2747,0,0.0
132,0.5,90,0.324,0.119,0.2627,0,0.0
133,0.5,90,0.206,0.22,0.2104,0,0.0
134,0.5,90,0.33,0.413,0.3552,0,0.0
135,0.5,90,0.316,0.491,0.3683,0,0.0
136,0.5,90,0.255,0.368,0.2891,0,0.0
137,0.5,90,0.278,0.107,0.2265,0,0.0
138,0.5,90,0.299,0.361,0.3175,0,0.0
139,0.5,90,0.325,0.503,0.378,0,0.0
140,0.5,90,0.345,0.529,0.4005,0,0.0
141,0.5,90,0.296,0.484,0.3524,0,0.0
142,0.5,90,0.267,0.331,0.286,0,0.0
143,0.5,90,0.263,0.481,0.3288,0,0.0
144,0.5,90,0.283,0.285,0.2839,0,0.0
145,0.5,90,0.322,0.429,0.354,0,0.0
146,0.5,90,0.315,0.298,0.3099,0,0.0
147,0.5,90,0.272,0.601,0.371,0,0.0
148,0.5,90,0.29,0.596,0.3817,0,0.0
149,0.5,90,0.36,0.704,0.4635,0,0.0
150,0.5,90,0.292,0.422,0.3309,0,0.0
151,0.5,90,0.295,0.583,0.3815,0,0.0
152,0.5,90,0.334,0.567,0.404,0,0.0
153,0.5,90,0.391,0.713,0.4878,0,0.0
154,0.5,90,0.286,0.418,0.3258,0,0.0
155,0.5,90,0.244,0.452,0.3062,0,0.0
156,0.5,90,0.256,0.65,0.374,0,0.0
157,0.5,90,0.29,0.602,0.3835,0,0.0
158,0.5,90,0.301,0.503,0.3614,0,0.0
159,0.5,90,0.237,0.383,0.2809,0,0.0
160,0.5,90,0.182,0.556,0.2939,0,0.0
161,0.5,90,0.216,0.516,0.3061,0,0.0
162,0.5,90,0.251,0.762,0.4044,0,0.0
163,0.5,90,0.26,0.605,0.3633,0,0.0
164,0.5,90,0.275,0.7,0.4026,0,0.0
165,0.5,90,0.252,0.435,0.307,0,0.0
166,0.5,90,0.349,0.539,0.406,0,0.0
167,0.5,90,0.278,0.627,0.3829,0,0.0
168,0.5,90,0.254,0.143,0.2209,0,0.0
169,0.5,90,0.131,0.369,0.2025,0,0.0
170,0.5,90,0.288,0.588,0.3778,0,0.0
171,0.5,90,0.231,0.676,0.3644,0,0.0
172,0.5,90,0.237,0.606,0.3472,0,0.0
173,0.5,90,0.255,0.583,0.3532,0,0.0
174,0.5,90,0.25,0.78,0.4091,0,0.0
175,0.5,90,0.221,0.741,0.3767,0,0.0
176,0.5,90,0.258,0.625,0.3683,0,0.0
177,0.5,90,0.206,0.619,0.3297,0,0.0
178,0.5,90,0.198,0.366,0.2485,0,0.0
179,0.5,90,0.214,0.463,0.2887,0,0.0
180,0.5,90,0.161,0.639,0.3042,0,0.0
